seed,ue_id,moved,outage,sinr_base_db,sinr_steer_db,twin_gain_pct,mac_gain_pct,real_gain_pct,gap_vs_mac_pts,fidelity_gap_pts
7,ue3,0,0,10.06,10.06,-16.667,-16.667,-16.667,0.0,0.0
7,ue4,0,0,13.88,13.88,0.0,0.0,0.0,0.0,0.0
7,ue5,0,0,18.65,18.65,14.286,14.286,14.286,0.0,0.0
7,ue6,0,0,15.03,15.03,14.286,14.286,14.286,0.0,0.0
7,ue7,0,0,24.6,24.6,0.0,0.0,0.0,0.0,0.0
7,ue8,0,0,22.03,22.03,14.286,14.286,14.286,0.0,0.0
7,ue9,0,0,32.66,32.66,14.286,14.286,14.286,0.0,0.0
7,ue10,0,0,7.23,7.23,0.0,0.0,0.0,0.0,0.0
7,ue11,0,0,12.97,12.97,-16.667,-16.667,-16.667,0.0,0.0
7,ue12,0,0,11.03,11.03,0.0,0.0,0.0,0.0,0.0
7,ue13,0,0,30.29,30.29,0.0,0.0,0.0,0.0,0.0
7,ue14,0,0,7.21,7.21,0.0,0.0,0.0,0.0,0.0
7,ue15,0,0,10.94,10.94,0.0,0.0,0.0,0.0,0.0
7,ue16,0,1,-120.0,-120.0,nan,14.286,14.286,nan,nan
7,ue17,0,0,11.08,11.08,0.0,0.0,0.0,0.0,0.0
7,ue18,0,0,22.61,22.61,0.0,0.0,0.0,0.0,0.0
7,ue19,0,0,13.06,13.06,0.0,0.0,0.0,0.0,0.0
7,ue20,0,0,18.93,18.93,14.286,14.286,14.286,0.0,0.0
7,ue21,1,0,3.3,3.55,33.333,33.333,33.333,0.0,0.0
7,ue22,0,0,12.76,12.76,-16.667,-16.667,-16.667,0.0,0.0
7,ue23,0,0,18.0,18.0,0.0,0.0,0.0,0.0,0.0
7,ue24,0,0,4.09,4.09,0.0,0.0,0.0,0.0,0.0
7,ue25,0,0,8.07,8.07,-16.667,-16.667,-16.667,-0.0,0.0
7,ue26,0,0,9.49,9.49,0.0,0.0,0.0,0.0,0.0
7,ue27,0,0,9.02,9.02,-16.667,-16.667,-16.667,-0.0,-0.0
7,ue28,0,0,7.62,7.62,0.0,0.0,0.0,0.0,0.0
7,ue29,0,0,12.86,12.86,0.0,0.0,0.0,0.0,0.0
